country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,CRI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,2,4,9,13,19,27,41,58,79,185,106,106,270,399,410,573,1975,2244,3335,3910,6756,6986,7000,7937,9324,9708,10520,17892,20546,24708,24038,19962,25765,27059,24754.3,26839,27713.5,27287,30352,26765.5,22502.5,22421,
Caribbean small states,CSS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,25,20,32,135,162,382,1019,1692,2408,2901,3783,3647,3415,3669,4109,4329,4785,4787,5140,5479,8277,9129,10064,11644,14092,16897.5,17743.5,16597.743,9652.99,10911.13,11544.84,11969.8,6662.15,6927.978,8371.6,8465.576,5505.54,2105.84,
Cuba,CUB,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,20,80,220,350,460,570,680,810,1040,1310,1320,1690,1990,2309,2977,3779,4145,4383,4637,4626,5578,5768,6036,8174,8261,10977,12774,16273,22276,36354,36367,39603,40166,32780,25569,27044,26897,27562,22635,27210,37526,36685,36002,31422,24597.8,26179.2,29577.7,31282.6,32056,29185,
Curacao,CUW,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,41,31,31,31,31,31,31,36,46,50,60,56,57,50,59,84,125,127,155,259,291,452,787,969,1178,1422,1878,1883,1862,1821,2445,2436,2787,2450,2887,3415.5,4115.8,4666.98,4333.71,5339.1,4835.1,5458.56,6624.96,
Czech Republic,CZE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20242,18655,18679,18200,17560,17231,18775,19475,20098,19210,19670,19384,20455,20431,20447,20395,20071,20420,21010,20763,19357.4,20135,20200,20952,
Germany,DEU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,19810,16670,12520,12680,13830,14490,19950,20600,22160,19814,23477,20636,25103,29169,35783,39380,44071,36230,35893,25703,38789,35543,52616,70965,97785,61134,70235,66828,72005,66618,64435,74692,96654,69500,48852,64096,83237,65433,73020,79567,65891,53409,49852,74280,57233,44685,35379,44994,43977,38907,40694,39141,26360,25289,26032,29909,41721,
Djibouti,DJI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,3,3,4,4,5,5,5,7,12,13,13,18,19,24,24,24,24,11,6,6,6,6,6,6,
